,vid,title,description,thumbnail,view_counts
27,-5ao_NzIw6E,Visual Launch Angle Hitting Drill for Baseball and Softball,Check out my Sunglass Brand VELO Shades here to COP the best shades in the game now: https://veloshades.com/ Thank you ...,https://i.ytimg.com/vi/-5ao_NzIw6E/default.jpg,24314
28,0ZJM89AoFmw,Back-Pick from Netherlands&#39; Chadwick Tromp 🔥 #shorts #WBC #baseball #Netherlands #Cuba,Watch Netherlands' catcher Chadwick Tromp back-pick Cuba's Luis Robert Jr. in the 2023 World Baseball Classic. #FOXSports ...,https://i.ytimg.com/vi/0ZJM89AoFmw/default.jpg,2159
29,CbWYTFi54vI,Dudes bein’ dudes #baseball #shorts,Brewers ace pitcher Corbin Burnes giving Rowdy Tellez a hard time. Dudes will be dudes. #mlb.,https://i.ytimg.com/vi/CbWYTFi54vI/default.jpg,103183
30,hovSnjVsFSQ,How to become a D1 Baseball Player! MUST WATCH! #shorts,"OK, I must have uploaded the wrong video! My Bad LOL Check out my Sunglass Brand VELO Shades here to COP the best ...",https://i.ytimg.com/vi/hovSnjVsFSQ/default.jpg,41399
31,hfFH14sHdSE,Baseball Stereotypes: Infielders 😂,Watch the full video here: https://youtu.be/P4NQPceKcmY Follow Momentum on social media   ...,https://i.ytimg.com/vi/hfFH14sHdSE/default.jpg,53627
32,GLeu8TRSErw,Fastest strikeout in MLB history 😳,"Don't forget to subscribe! #shorts Follow me on these, or else: Twitter -Fuzzyfromyt Instagram - Fuzzyfromyt Tik Tok ...",https://i.ytimg.com/vi/GLeu8TRSErw/default.jpg,65185
33,0SP4xFGu2Fg,Do Baseball Players Have The MOST DRIP? #shorts,"Shoutout to Triple Crown Jewelry for hooking us up with the chains for this video! If you want to cop some drip, hit the link and use ...",https://i.ytimg.com/vi/0SP4xFGu2Fg/default.jpg,34801
34,GcIYWoOmHSw,Mets getting SUED by 85 year old 🤯💀 #mets #newyorkmets #mlb #baseball,,https://i.ytimg.com/vi/GcIYWoOmHSw/default.jpg,269578
35,KDNv9yijZUw,Shane Connell is an absolute legend.,,https://i.ytimg.com/vi/KDNv9yijZUw/default.jpg,19109738
36,3utW_hIreR0,Baseball is so wonderfully odd 👀 #shorts,SUBSCRIBE TO OUR CHANNEL: https://www.youtube.com/user/CBSSportsHQ WATCH CBS Sports HQ: ...,https://i.ytimg.com/vi/3utW_hIreR0/default.jpg,315423
37,VazRhsh6uys,Richie Rich (4/7) Movie CLIP - Baseball Bet (1994) HD,Richie Rich movie clips: http://j.mp/28JrToD BUY THE MOVIE: http://j.mp/28JwyeI Don't miss the HOTTEST NEW TRAILERS: ...,https://i.ytimg.com/vi/VazRhsh6uys/default.jpg,28393262
38,zgHMrriFzgo,Cuba scores the first RUN of the 2023 WBC 😱 #shorts #WBC #baseball #Cuba,Watch Cuba's Yadil Mujica hit an RBI double to put Cuba on the board 1-0 against Netherlands in the 2023 World Baseball ...,https://i.ytimg.com/vi/zgHMrriFzgo/default.jpg,1809
39,VO4MrbQPFco,Full video now up 👀 #baseball #baseballlife,,https://i.ytimg.com/vi/VO4MrbQPFco/default.jpg,695211
40,l4t_dzv4SL4,Yo what a play!… #baseball,,https://i.ytimg.com/vi/l4t_dzv4SL4/default.jpg,107572
41,2Ez4gJk3Hco,Max Scherzer: Pitch Clock Gamesmanship 🕑 #baseball #shorts,Max Scherzer using the pitch clock to his advantage. This MLB season is gonna be interesting! #mlb #pitchingninja.,https://i.ytimg.com/vi/2Ez4gJk3Hco/default.jpg,28183
42,DRd0pbURj8Q,OUCH! My Mom Hit Me During Batting Practice #shorts #baseball #mom,Check out my Sunglass Brand VELO Shades here to COP the best shades in the game now: https://veloshades.com/ Thank you ...,https://i.ytimg.com/vi/DRd0pbURj8Q/default.jpg,30552
43,Ysiw1bk7r9I,Under $100 baseball bat #baseball #baseballlife #under100 #rawlings #practice #giannimolfese,,https://i.ytimg.com/vi/Ysiw1bk7r9I/default.jpg,767539
44,s5VeEyuTKWs,The CLEANEST baseball edit you will ever see!,,https://i.ytimg.com/vi/s5VeEyuTKWs/default.jpg,50974
45,-cAUTluiOa0,RC baseball.. With some help from Mario!,"This and all other RCs I use can be found here: https://linktr.ee/RCDriftTok Play my new mobile game, RC Drifter: ...",https://i.ytimg.com/vi/-cAUTluiOa0/default.jpg,67685756
46,VV9MuOnRxbU,Pitcher Throws Flaming Baseball | Savannah Bananas #bananaball #shorts,,https://i.ytimg.com/vi/VV9MuOnRxbU/default.jpg,75282
47,9PnAjV-84_M,First Look at R.B.I. Baseball 21 Gameplay!,"R.B.I. Baseball is coming this March to Xbox One, Xbox Series S|X, PS4, Nintendo Switch, PC, iOS & Android. Rated E for ...",https://i.ytimg.com/vi/9PnAjV-84_M/default.jpg,116555
48,mOEGuiZOZ8g,INSANE Tennis Vs. Baseball Pitching TIC TAC TOE CHALLENGE! #shorts #baseball #tennis,"Hey Everyone! It's CS99TV from TikTok! In today's video, we did an insane tennis vs. baseball tic tac toe challenge! We'll be ...",https://i.ytimg.com/vi/mOEGuiZOZ8g/default.jpg,23395
49,VpHrcabMrhQ,ROAD TO 90 MPH (part 5) #baseball #pitching,,https://i.ytimg.com/vi/VpHrcabMrhQ/default.jpg,182263
