,vid,title,description,thumbnail,view_counts
32,bUOcNI8RBGk,☆ Severina - Tutorial ➿feat. Ljuba Stanković,Subscribe Severina YouTube channel ▻ https://goo.gl/QNLWsB ↩︎ ☆ Severina - Tutorial ➿feat. Ljuba Stanković - Official HD ...,https://i.ytimg.com/vi/bUOcNI8RBGk/default.jpg,47184403
33,7uEgZ45WLbg,Messy bun tutorial,"I always wear these messy buns and soooo many people ask me how I do them! It is throwing me back to the ""Cute Girls ...",https://i.ytimg.com/vi/7uEgZ45WLbg/default.jpg,1236670
34,7Wq8_ETeovE,BARBRA FOLLOWS a Meredith Tutorial! 😳 MORE 👉🏼 #TheJohnnyRossShow,"ABOUT ME: I have been a professional makeup artist since 2012, working for companies like Sophora, Laura Mercier, Dr. Dennis ...",https://i.ytimg.com/vi/7Wq8_ETeovE/default.jpg,7077872
35,mCdtN0tPMYA,Tutorial para hacer mortal atrás!!🙌🏼🔥🤯,tutorial #mortal #flip #backflip #comedia #parkour.,https://i.ytimg.com/vi/mCdtN0tPMYA/default.jpg,3383456
36,kHfoQ-qL4Ns,Billie Eilish x Khalid - Lovely | EASY Piano Tutorial,Learn piano with Skoove ▻ https://www.skoove.com/#a_aid=phianonize ♫ SHEET ▻ https://www.musicnotes.com/l/HtVM4 ...,https://i.ytimg.com/vi/kHfoQ-qL4Ns/default.jpg,6666549
37,6eW3gDFo9k8,HAIR TUTORIAL ^_^ #shorts #tiktok #acting #tutorial #hairtutorial,,https://i.ytimg.com/vi/6eW3gDFo9k8/default.jpg,2230884
38,DLa7bQBxV60,white eyes black eyes tutorial,김프로 #유백합 #KIMPRO 김프로 KIMPRO SNS   틱톡 : https://www.tiktok.com/@kimpro828 인스타그램 ...,https://i.ytimg.com/vi/DLa7bQBxV60/default.jpg,7203242
39,1c_gHonRtYI,60 Second French Twist Updo Hair Tutorial,Today's how to hair tutorial is an easy French Twist hairstyle that takes less than 60 seconds to create. This French roll updo is a ...,https://i.ytimg.com/vi/1c_gHonRtYI/default.jpg,2255539
40,NUjWNzSUi9Q,"Hairbun with just a PEN? Hairstick Tutorial, Casa De Papel, Money Heist #kbeauty #shorts #hairstyle",,https://i.ytimg.com/vi/NUjWNzSUi9Q/default.jpg,6167422
41,B48yqPUdbAA,Slow MESSY BUN tutorial!! #Shorts,,https://i.ytimg.com/vi/B48yqPUdbAA/default.jpg,2666587
42,4Gyqp3SVbG8,tutorial para decorar pastel con chocolate enmallado y frutas,decoracionn de pastel con chocolate enmallado y frutas #pastelescreativos #cakeideas #cakedecorating #frutilla #chocolate.,https://i.ytimg.com/vi/4Gyqp3SVbG8/default.jpg,66742
43,E-bIc7LpbT8,2-Ingredient Truffles! tutorial #Shorts,How to make a 2-Ingredient Chocolate Truffles! Also known as Brigadeiros! I'm Eloise from Fitwaffle Kitchen! I make simple recipe ...,https://i.ytimg.com/vi/E-bIc7LpbT8/default.jpg,54202965
44,XKLvAsbdfpQ,Sparkle Tutorial #shorts,,https://i.ytimg.com/vi/XKLvAsbdfpQ/default.jpg,86341945
45,7Ql64pa0T4U,Kill Bill (Piano Tutorial) #TikTok,"Thank you for watching Please subscribe to my channel! And if you like it, please thumbs up! SZA - Kill Bill ...",https://i.ytimg.com/vi/7Ql64pa0T4U/default.jpg,487442
46,kR73DAZOzlE,BEST Magic. Tutorial Rubberband Trick (47). #magic #magictricks #rubberbandtricks #shorts #short,,https://i.ytimg.com/vi/kR73DAZOzlE/default.jpg,80381
47,Rn57_W74YJg,Moonwalk Tutorial #shorts,,https://i.ytimg.com/vi/Rn57_W74YJg/default.jpg,8802075
48,I8Y6uH_PGKg,This Headwrap Tutorial Broke The Internet #shorts,shorts Hope you enjoy this beautiful Headwrap tutorial hack that broke the internet on natural hair :) Such an amazing protective ...,https://i.ytimg.com/vi/I8Y6uH_PGKg/default.jpg,182970
49,xqvCmoLULNY,Exercise Tutorial - Squat,How To Do The Move 1. Stand with your feet slightly wider than shoulder width apart. 2. Cross your arms in front of you so that ...,https://i.ytimg.com/vi/xqvCmoLULNY/default.jpg,721248
