,vid,title,description,thumbnail,view_counts
27,ISgatbSHFtE,Mini Vlog 127 - DIY Earrings Organizer &amp; NailArt!🎀🤩,DIY Earrings Organizer & NailArt!     FOR NEW VIEWERS! We have 3 Channels: Riya's Amazing World (this one) Riya's ...,https://i.ytimg.com/vi/ISgatbSHFtE/default.jpg,576792
28,TInPWT8oRSg,FIQUEI TRISTE com o JON VLOGS,Inscreva-se no Blaze com o código GROSELHA e receba um bônus de boas-vindas. Você deve ter mais de 18 anos para usar o ...,https://i.ytimg.com/vi/TInPWT8oRSg/default.jpg,40025
29,grp3SFo7b7M,[ITZY VLOG] ITZY&#39;s Holiday TEASER,[ITZY VLOG] ITZY's Holiday TEASER MV https://youtu.be/zugAhfd2r0g TITLE http://kko.to/OACKMtlBJg PRE-SAVE ...,https://i.ytimg.com/vi/grp3SFo7b7M/default.jpg,64182
30,NuEEs69lANo,AIIMS diaries-Life in AIIMS🔥|VLOG-15#shorts #shivamrajaiims #neetexam #neetmotivation #aiimsnagpur,This is the 10th mini vlog of the series- AIIMS diaries. This is approximately how your life in AIIMS is gonna be after your NEET ...,https://i.ytimg.com/vi/NuEEs69lANo/default.jpg,14567
31,yeaQMYsNv1U,🚗 Car Service in America (USA Tamil Vlogs) #shorts,"Car Service in America (USA Tamil Vlogs) #shorts If you've enjoyed this video, make sure to Subscribe and turn on the ...",https://i.ytimg.com/vi/yeaQMYsNv1U/default.jpg,1217556
32,4dn8bM3avuw,Mother and daughters part-79😂😂”leyyande time avuthondhi” #shishira #shorts #comedy #viral #sisira,,https://i.ytimg.com/vi/4dn8bM3avuw/default.jpg,1016743
33,dWqW1bUcNT0,DAY IN MY LIFE at Penn State!! #shorts #college #collegelife #vlog #dayinthelife,make sure to SUBSCRIBE and LIKE this video to see more! FOLLOW ME ON... instagram: ...,https://i.ytimg.com/vi/dWqW1bUcNT0/default.jpg,271228
34,f2AHiMyu8h8,Wifi jugaad fail 🥴 | ft. Paison ka durupayog | #103 | #shorts #minivlog #vlog,,https://i.ytimg.com/vi/f2AHiMyu8h8/default.jpg,1026920
35,Mhh_zuDVoWE,Birthday vlog of a upsc aspirant 🎂 #minivlog #birthday #study,,https://i.ytimg.com/vi/Mhh_zuDVoWE/default.jpg,34874
36,s1i1qbVqCz4,EMILY GARCIA e JON VLOGS Voltaram? #shorts,LIVESTREAM TODOS OS DIAS NA ROXINHA: @jonvlogs ○ Siga nas redes sociais: ✓ INSTA: @jonvlogs ✓ FACE: @jonvlogs ...,https://i.ytimg.com/vi/s1i1qbVqCz4/default.jpg,62504
37,-fm5dFodkYo,USA Home Tour (PART 3) | USA Vlogs Telugu,USA Home Tour (PART 3) | USA Vlogs Telugu #usahometour #usa #shorts #america #f1visa #msinusa #usavlogs #shortsvideo ...,https://i.ytimg.com/vi/-fm5dFodkYo/default.jpg,40167
38,OtI7f8t16dA,The Wedding Vlog😂-Jagriti Khurana |,The Wedding Vlog  -Jagriti Khurana |,https://i.ytimg.com/vi/OtI7f8t16dA/default.jpg,819144
39,mABWltMI7_k,Mini Vlog 101 - What I eat in a day?🍨🍿😍 | Riya&#39;s Amazing World,What I eat in a day?       FOR NEW VIEWERS! We have 3 Channels: Riya's Amazing World (this one) Riya's Amazing ...,https://i.ytimg.com/vi/mABWltMI7_k/default.jpg,1156485
40,fa6zc1pi-6Y,Aalyan Vlogs vs Raja dc Bike Comparison | Top 5 Youtuber most Expensive Bike | #shorts #facts,The Uk07 Rider vs Aalyan Vlogs bike Comparison | Top 5 Youtuber most Expensive Bike | #shorts #facts #babubhaiya #uk07rider ...,https://i.ytimg.com/vi/fa6zc1pi-6Y/default.jpg,337430
41,Nw4KINANeLI,Jon Vlogs Vaza Projetos Com MC DANIEL,LIVESTREAM TODOS OS DIAS NA ROXINHA: @jonvlogs ○ Siga nas redes sociais: ✓ INSTA: @jonvlogs ✓ FACE: @jonvlogs ...,https://i.ytimg.com/vi/Nw4KINANeLI/default.jpg,26553
42,CiEDxeHXV8o,our daughter’s DREAM sweet 16 party 💖 #momanddaughter #shorts #sweet16 #vlog,,https://i.ytimg.com/vi/CiEDxeHXV8o/default.jpg,102365
43,JJlQQLLKmzI,#miniglovevlog Day 83 “Last Vlog keep showing your ❤&amp; I will be back with bang” #littleglove #shorts,,https://i.ytimg.com/vi/JJlQQLLKmzI/default.jpg,5850892
44,BA-sMlvRopU,jab dresscode match na ho  😂😂| #shorts  #vlog #minivlog-161,This is my 161th mini vlog and here ill be uploading such videos related to collage life so stay tuned by subscribing us. Thank You ...,https://i.ytimg.com/vi/BA-sMlvRopU/default.jpg,974736
45,9G69FoYzxLI,🇺🇸 USA Homes Backyard   💢 அமெரிக்காவில் வீடுகள் 💥 USA Tamil Vlogs💥,shorts #vblogusa #usablogstamil #tamilvlogsusa #icecream #shortsviral #trendingshorts.,https://i.ytimg.com/vi/9G69FoYzxLI/default.jpg,206540
46,MriP13_1sAU,💚Selling Car In America💛Telugu Vlogs💙,,https://i.ytimg.com/vi/MriP13_1sAU/default.jpg,547925
47,C_SQ5RTBgy4,Thor🐶 Ka Photoshoot📸 *VLOG* #shorts #vlog,,https://i.ytimg.com/vi/C_SQ5RTBgy4/default.jpg,6112285
48,5b8R4QrnR8s,Mini Vlog 125 - DIY Nano Tape Teddy Bear🧸Balloon!😱 | *Viral Tape*💕 | Riya&#39;s Amazing World,DIY Nano Tape Teddy Bear  Balloon!   FOR NEW VIEWERS! We have 3 Channels: Riya's Amazing World (this one) ...,https://i.ytimg.com/vi/5b8R4QrnR8s/default.jpg,951991
49,NCCVoobJrsw,#44 kuch bhi vlog😂🤣😊,aaj thoda personal vlog banate h aur batate h ki hum milk kaha se latein h   Vlog 44 Hope you all like it Plz like share subscribe ...,https://i.ytimg.com/vi/NCCVoobJrsw/default.jpg,2028083
